is_mt,latitude,longitude
0,40.6126538,-73.9618576
0,40.6391286,-74.0232188
0,40.6695476,-73.9116642
1,40.7622265,-73.9681866
0,40.5910225,-74.1009095
1,40.7447026,-74.0083473
0,40.7304863,-73.9462465
1,40.7460781,-73.9749359
1,40.71918,-73.99029
0,40.730053,-73.7935239
0,40.71417,-73.76648
0,40.5531108,-74.1917619
0,40.753644,-73.9076654
0,40.7585495,-73.8925271
0,40.6397871,-73.8935687
0,40.7024739,-73.7999209
1,40.7204905,-73.9853208
0,40.6450318,-73.9199775
0,40.702936,-73.7550026
0,40.558887,-74.1977
1,40.8439024,-73.942696
1,40.7226266,-74.0081173
0,40.6573161,-73.8886319
1,40.764996,-73.976715
0,40.614304,-74.09764
0,40.5976834,-73.9471924
1,40.8271531,-73.9462009
1,40.720074,-73.988365
0,40.7613,-73.80952
0,40.6097753,-73.9642976
1,40.8635725,-73.9260124
0,40.70791,-73.91081
0,40.6126162,-74.0008428
0,40.6942605,-73.9103549
1,40.7656758,-73.9762353
0,40.7497328,-73.9360965
0,40.6443254,-74.0180605
0,40.626537,-74.12921
0,40.7277184,-73.8491262
0,40.6800886,-73.9439725
0,40.7522294,-73.9391006
0,40.6697253,-73.8609622
0,40.6367041,-73.9903727
0,40.7478646,-73.8739794
0,40.6976155,-73.9363881
1,40.7850977,-73.9769037
0,40.6817692,-73.9675328
0,40.667114,-73.834656
0,40.635306,-73.9266726
0,40.767762,-73.8798479
0,40.6246578,-73.9169723
0,40.6508561,-73.9485919
0,40.7592322,-73.8860358
1,40.710754,-74.00068
0,40.6181866,-74.0691482
0,40.7159289,-73.9619104
0,40.6409147,-73.9736422
0,40.6315982,-73.9849297
0,40.618242,-73.9840682
0,40.661163,-73.96292
0,40.637108,-73.8933748
0,40.7538277,-73.7567898
0,40.6907986,-73.9563571
0,40.7036391,-73.9576147
1,40.7716578,-73.9531884
1,40.7522181,-73.9994261
1,40.7375535,-73.9780532
0,40.6635186,-73.9572076
0,40.5415014,-74.162528
0,40.5778173,-73.8490652
1,40.7558237,-73.9707596
0,40.622375,-73.91619
1,40.7609059,-73.9669961
0,40.716795,-73.9215399
